machine_id,machine_type,available_from,available_until,capacity_hours
CNC-01,CNC,2026-03-29T06:00:00,2026-03-29T16:00:00,10.0
CNC-02,CNC,2026-03-29T06:00:00,2026-03-29T16:00:00,10.0
CNC-03,CNC,2026-03-29T07:00:00,2026-03-29T15:00:00,8.0
ASM-01,assembly,2026-03-29T06:00:00,2026-03-29T14:00:00,8.0
ASM-02,assembly,2026-03-29T08:00:00,2026-03-29T14:00:00,6.0
CNC-01,CNC,2026-03-30T06:00:00,2026-03-30T16:00:00,10.0
CNC-02,CNC,2026-03-30T06:00:00,2026-03-30T16:00:00,10.0
CNC-03,CNC,2026-03-30T07:00:00,2026-03-30T15:00:00,8.0
ASM-01,assembly,2026-03-30T06:00:00,2026-03-30T14:00:00,8.0
ASM-02,assembly,2026-03-30T08:00:00,2026-03-30T14:00:00,6.0
CNC-01,CNC,2026-03-31T06:00:00,2026-03-31T16:00:00,10.0
CNC-02,CNC,2026-03-31T06:00:00,2026-03-31T16:00:00,10.0
CNC-03,CNC,2026-03-31T07:00:00,2026-03-31T15:00:00,8.0
ASM-01,assembly,2026-03-31T06:00:00,2026-03-31T14:00:00,8.0
ASM-02,assembly,2026-03-31T08:00:00,2026-03-31T14:00:00,6.0
