of_id,article_ref,article_family,diameter_mm,material,color,quantity,machine_id,machine_type,actual_start_ts,actual_end_ts,downtime_min,status,record_created_ts
OF-2024-00000,ART-F11,Finition,147.9,Acier,Gris,66,MCH-07,MANUAL,10/05/2024 21:18,10/05/2024 23:02,0.0,done,10/05/2024 23:06
OF-2024-00001,ART-A26,Assemblage,183.1,Inox,Rouge,63,MCH-10,ROBOT_CELL,2024-04-26 13:16:55,,8.9,running,2024-04-26 15:03:26
OF-2024-00002,ART-F07,Finition,147.0,Acier,Gris,28,MCH-01,CNC_FAST,2024-07-26 08:24:11,2024-07-26 08:45:21,0.0,done,2024-07-26 08:49:06
OF-2024-00003,ART-U24,Usinage,173.0,Aluminium,Vert,193,MCH-02,CNC_FAST,2024-07-07 18:16:47,2024-07-07 22:16:33,48.0,done,2024-07-07 22:19:52
OF-2024-00004,ART-S25,Soudure,151.9,Acier,Bleu,67,MCH-07,MANUAL,08/04/2024 09:08,08/04/2024 15:39,58.1,done,08/04/2024 15:42
OF-2024-00005,ART-U28,Usinage,115.2,Aluminium,Bleu,36,MCH-04,CNC_STD,2024-06-29 08:18:03,2024-06-29 09:31:43,0.0,done,2024-06-29 09:34:31
OF-2024-00006,ART-U00,Usinage,184.0,Inox,Jaune,54,MCH-03,CNC_STD,2024-04-28 21:55:41,2024-04-29 00:26:00,0.0,done,2024-04-29 00:26:57
OF-2024-00007,ART-A26,Assemblage,183.1,Inox,Rouge,65,MCH-11,ROBOT_CELL,2024-07-24 20:06:41,2024-07-24 22:03:36,0.0,done,2024-07-24 22:06:57
OF-2024-00008,ART-U32,Usinage,131.7,Aluminium,Gris,64,MCH-05,CNC_STD,2024-01-22 21:28:13,2024-01-23 00:45:53,53.5,done,2024-01-23 00:49:19
OF-2024-00009,ART-F19,Finition,100.8,Aluminium,Gris,34,MCH-08,MANUAL,2024-04-10 07:02:55,2024-04-10 07:50:57,0.0,done,2024-04-10 07:52:38
OF-2024-00010,ART-S13,Soudure,74.7,Acier,Jaune,252,MCH-10,ROBOT_CELL,2024-01-06 20:01:54,2024-01-07 10:32:02,0.0,done,2024-01-07 10:32:59
OF-2024-00011,ART-S25,Soudure,151.9,Acier,Bleu,13,MCH-06,MANUAL,2024-01-24 12:59:09,2024-01-24 15:11:21,0.0,done,2024-01-24 15:11:54
OF-2024-00012,ART-U24,Usinage,173.0,Aluminium,Vert,69,MCH-01,CNC_FAST,2024-08-18 17:49:12,2024-08-18 19:48:13,38.9,done,2024-08-18 19:49:59
